Re(Z),Img(Z)
8644.340000000044,2478.139999999985
8724.460000000066,2314.919999999669
8693.260000000042,2433.559999999718
8714.300000000043,2608.1399999997
8837.60000000006,3065.419999999867
8900.360000000059,3230.0800000003032
8993.060000000025,3181.9199999997195
9217.220000000008,3260.6199999998685
9429.49999999999,3546.9400000000155
9404.360000000011,3855.6599999998753
9528.220000000005,4017.760000000044
8909.239999999998,4454.199999999847
9952.480000000029,4576.019999999544
10098.399999999998,4762.4599999995535
10124.380000000036,5298.819999999503
10275.100000000042,5390.499999999826
10393.98000000002,5622.659999999952
10778.799999999974,5990.359999999931
11140.719999999965,6474.200000000205
11172.00000000002,6663.1200000002855
11163.960000000005,7096.90000000013
10907.72,7221.680000000128
10730.840000000017,7577.31999999997
11687.340000000004,8759.499999999658
11993.740000000043,9276.559999999534
11814.960000000005,9674.03999999983
12371.519999999917,10823.6200000001
12756.539999999908,11428.500000000236
12681.75999999993,11737.00000000025
13171.69999999999,13329.999999999798
13841.69999999998,14289.199999999975
14273.800000000005,15389.999999999874
14603.05999999994,16575.199999999848
15198.200000000035,17964.59999999997
16046.40000000001,19292.20000000042
16826.39999999995,21209.400000000554
17436.799999999897,22515.400000000624
18513.400000000016,24632.20000000032
19741.79999999988,26211.59999999994
21222.40000000003,28746.399999999347
22632.79999999988,30480.400000000176
24462.4,32638.00000000021
26378.799999999985,34868.40000000055
28988.99999999996,37494.40000000073
32048.79999999991,40008.59999999972
36267.00000000011,42920.00000000008
37907.00000000003,43767.79999999981
43534.20000000019,46576.4000000002
46168.400000000096,47164.4
50840.19999999983,48683.60000000021
57414.40000000029,49819.39999999939
61548.39999999994,50216.59999999988
65594.39999999967,50344.99999999974
68121.20000000001,49749.5999999999
74381.40000000005,49439.600000000006
79109.2000000001,48085.79999999962
84134.80000000048,46242.79999999927
88136.0000000005,44859.19999999941
91168.00000000023,42725.59999999917
94817.60000000022,40698.79999999928
97721.39999999962,38072.79999999912
100030.39999999982,35248.20000000014
101139.2000000003,32443.59999999955
102388.20000000027,30516.399999999718
105831.79999999976,27852.39999999981
107059.79999999952,26232.399999999547
108459.60000000018,23256.00000000061
109877.60000000017,20346.400000000496
110626.40000000002,19683.600000000508
111391.9999999994,18446.60000000036
111579.99999999936,16703.140000000218
111855.9999999998,15688.559999999963
112538.0000000004,14145.51999999974
113042.0000000006,11981.860000000346
113228.00000000044,11279.820000000504
113843.99999999972,10548.280000000004
113877.99999999974,10066.380000000265
113889.99999999972,9734.020000000231
113332.00000000042,7606.460000000287
113350.0000000004,6896.440000000204
113769.99999999993,6933.640000000179
113967.99999999964,6462.579999999831
113911.99999999972,6145.719999999817
113360.00000000042,5949.059999999503
113789.99999999993,5758.219999999612
113885.99999999977,5467.699999999632
113725.99999999988,5467.039999999753
113320.00000000044,5674.120000000057
113688.0,5838.600000000377
113240.0000000005,5565.899999999831
113124.00000000068,5624.479999999572
113268.00000000052,6123.41999999965
113670.0,6253.3599999995695
113674.0,6276.959999999584
113907.99999999977,7160.819999999658
114083.99999999974,7855.859999999925
114099.99999999974,7885.679999999929
114151.99999999977,8623.960000000357
114764.00000000004,9059.880000000305
114984.00000000016,9431.280000000244
115464.00000000032,10630.579999999987
116545.20000000068,10520.63999999977
116610.80000000064,10914.180000000297
116927.20000000052,11032.100000000284
117777.99999999993,12684.91999999974
117967.99999999993,13217.219999999974
118372.79999999986,13632.44000000009
117923.1999999998,14517.12000000005
119920.19999999956,14018.940000000104
120130.19999999947,13283.700000000072
122699.99999999904,17168.200000000295
122893.999999999,17431.000000000262
123313.99999999972,22403.800000000192
124637.9999999996,16008.799999999746
128014.00000000055,20486.99999999966
129492.0000000002,21242.000000000397
131167.99999999956,22698.200000000357
131942.00000000012,22937.800000000672
132357.80000000005,22940.80000000069
135831.9999999996,24080.20000000051
137833.99999999924,23945.80000000052
138774.00000000003,25331.200000000357
141223.99999999965,26173.599999999667
143618.00000000015,26372.3999999996
144253.99999999994,26857.399999999456
146983.99999999942,27368.00000000012
148931.99999999898,27869.200000000543
149915.99999999985,28446.000000000528
151599.99999999945,28389.200000000383
153814.00000000035,28353.800000000338
156016.0000000008,28522.60000000044
159336.0000000009,29018.00000000057
160428.0000000002,29137.400000000453
161780.000000001,29243.80000000037
163345.99999999927,29564.600000000457
167015.99999999898,30299.59999999952
168443.99999999942,30342.399999999358
170196.00000000038,29877.19999999964
170931.99999999994,30070.39999999989
173298.00000000084,29884.400000000187
174833.9999999999,30149.9999999994
177386.0,30628.20000000017
179099.9999999993,30775.399999999703
180256.00000000044,30666.200000000248
182356.00000000093,30647.200000000357
184956.0000000008,30683.4
185989.99999999936,31035.80000000053
187045.99999999875,31045.00000000052
190837.99999999808,30708.99999999945
192079.99999999808,30957.399999999187
193055.9999999985,31046.199999999106
